,state,month,year,n
391,CO,1,2015,4
392,CO,1,2018,4
393,CO,1,2019,4
394,CO,2,2019,4
395,CO,4,2019,4
396,CO,5,2018,4
397,CO,6,2016,4
398,CO,6,2017,4
399,CO,6,2020,4
400,CO,6,2022,4
401,CO,7,2019,4
402,CO,8,2016,4
403,CO,8,2019,4
404,CO,8,2021,4
405,CO,9,2016,4
406,CO,9,2020,4
407,CO,9,2021,4
408,CO,11,2015,4
409,CO,12,2015,4
410,FL,4,2015,4
411,FL,4,2016,4
412,FL,4,2017,4
413,FL,4,2018,4
414,FL,4,2019,4
415,FL,4,2021,4
416,FL,4,2022,4
417,FL,5,2017,4
418,FL,5,2018,4
419,FL,6,2020,4
420,FL,7,2021,4
421,FL,9,2018,4
422,FL,10,2016,4
423,FL,10,2019,4
424,FL,11,2015,4
425,FL,11,2021,4
426,FL,12,2020,4
427,FL,12,2021,4
428,GA,1,2016,4
429,GA,2,2015,4
430,GA,2,2018,4
431,GA,4,2020,4
432,GA,5,2018,4
433,GA,5,2020,4
434,GA,7,2021,4
435,GA,8,2017,4
436,GA,8,2020,4
437,GA,9,2019,4
438,GA,10,2015,4
439,GA,11,2021,4
440,GA,12,2018,4
441,ID,2,2021,4
442,IL,2,2019,4
443,IL,4,2021,4
444,IL,5,2016,4
445,IL,5,2019,4
446,IL,6,2018,4
447,IL,7,2017,4
448,IL,7,2021,4
449,IL,7,2022,4
450,IL,11,2016,4
451,IN,1,2021,4
452,IN,4,2019,4
453,IN,5,2020,4
454,IN,6,2015,4
455,IN,11,2020,4
456,KS,6,2021,4
457,KS,8,2017,4
458,KY,3,2018,4
459,KY,8,2019,4
460,KY,11,2017,4
461,KY,12,2021,4
462,LA,2,2022,4
463,LA,7,2016,4
464,LA,11,2017,4
465,MA,11,2021,4
466,MD,3,2016,4
467,MI,4,2022,4
468,MI,7,2020,4
469,MI,11,2018,4
470,MI,12,2021,4
471,MO,1,2018,4
472,MO,1,2019,4
473,MO,1,2020,4
474,MO,1,2022,4
475,MO,2,2015,4
476,MO,2,2020,4
477,MO,6,2018,4
478,MO,6,2020,4
479,MO,6,2021,4
480,MS,9,2021,4
481,NC,1,2020,4
482,NC,2,2015,4
483,NC,5,2020,4
484,NC,5,2022,4
485,NC,6,2021,4
486,NC,6,2022,4
487,NC,8,2016,4
488,NJ,8,2017,4
489,NM,2,2021,4
490,NM,6,2021,4
491,NM,8,2020,4
492,NV,4,2020,4
493,NV,6,2020,4
494,NV,7,2015,4
495,NV,8,2015,4
496,NV,10,2021,4
497,NY,4,2016,4
498,NY,6,2020,4
499,NY,9,2019,4
500,NY,10,2019,4
501,NY,12,2019,4
502,OH,1,2020,4
503,OH,3,2015,4
504,OH,3,2021,4
505,OH,4,2021,4
506,OH,6,2018,4
507,OH,7,2021,4
508,OH,8,2016,4
509,OH,8,2017,4
510,OH,9,2016,4
511,OH,10,2016,4
512,OH,12,2015,4
513,OH,12,2021,4
514,OK,2,2017,4
515,OK,2,2018,4
516,OK,3,2018,4
517,OK,4,2022,4
518,OK,5,2018,4
519,OK,5,2022,4
520,OK,6,2020,4
521,OK,7,2016,4
522,OK,9,2019,4
523,OK,12,2019,4
524,OR,1,2016,4
525,OR,1,2019,4
526,OR,5,2016,4
527,OR,12,2016,4
528,PA,2,2021,4
529,PA,3,2016,4
530,PA,3,2018,4
531,PA,3,2020,4
532,PA,3,2022,4
533,PA,7,2019,4
534,PA,8,2018,4
535,PA,10,2021,4
536,PA,11,2016,4
537,PA,12,2016,4
538,PA,12,2017,4
539,SC,4,2015,4
540,SC,5,2022,4
541,SC,8,2016,4
542,SC,11,2015,4
543,TN,1,2016,4
544,TN,3,2017,4
545,TN,4,2019,4
546,TN,5,2020,4
547,TN,5,2021,4
548,TN,6,2020,4
549,TN,7,2020,4
550,TN,8,2019,4
551,TN,8,2021,4
552,TN,9,2016,4
553,TN,10,2020,4
554,TX,1,2022,4
555,TX,3,2015,4
556,TX,3,2017,4
557,TX,5,2016,4
558,TX,6,2016,4
559,TX,7,2017,4
560,TX,8,2016,4
561,TX,9,2020,4
562,TX,11,2019,4
563,VA,2,2021,4
564,VA,6,2022,4
565,VA,7,2017,4
566,VA,8,2016,4
567,VA,9,2015,4
568,VA,11,2021,4
569,WA,1,2016,4
570,WA,1,2019,4
571,WA,2,2022,4
572,WA,3,2019,4
573,WA,5,2019,4
574,WA,7,2019,4
575,WA,8,2015,4
576,WA,9,2017,4
577,WA,10,2016,4
578,WA,10,2018,4
579,WA,11,2020,4
580,WI,3,2015,4
581,WI,4,2016,4
582,WI,5,2018,4
583,WI,7,2016,4
584,WI,11,2019,4
585,AK,1,2020,3
586,AK,3,2018,3
587,AL,1,2020,3
588,AL,2,2020,3
589,AL,2,2021,3
590,AL,2,2022,3
591,AL,3,2015,3
592,AL,3,2018,3
593,AL,3,2022,3
594,AL,4,2021,3
595,AL,5,2020,3
596,AL,5,2022,3
597,AL,6,2021,3
598,AL,7,2021,3
599,AL,8,2017,3
600,AL,8,2022,3
601,AL,10,2015,3
602,AL,10,2016,3
603,AL,12,2017,3
604,AR,1,2018,3
605,AR,3,2021,3
606,AR,5,2020,3
607,AR,6,2019,3
608,AR,6,2020,3
609,AR,8,2018,3
610,AR,8,2019,3
611,AR,12,2016,3
612,AR,12,2018,3
613,AZ,1,2016,3
614,AZ,3,2016,3
615,AZ,3,2017,3
616,AZ,4,2019,3
617,AZ,4,2020,3
618,AZ,4,2021,3
619,AZ,4,2022,3
620,AZ,5,2015,3
621,AZ,6,2017,3
622,AZ,7,2015,3
623,AZ,7,2020,3
624,AZ,7,2021,3
625,AZ,7,2022,3
626,AZ,8,2020,3
627,AZ,9,2017,3
628,AZ,9,2018,3
629,AZ,10,2018,3
630,AZ,10,2019,3
631,AZ,11,2018,3
632,AZ,11,2019,3
633,AZ,11,2021,3
634,AZ,12,2016,3
635,CO,1,2021,3
636,CO,2,2016,3
637,CO,2,2017,3
638,CO,2,2020,3
639,CO,2,2022,3
640,CO,3,2016,3
641,CO,3,2018,3
642,CO,3,2020,3
643,CO,4,2015,3
644,CO,4,2016,3
645,CO,4,2020,3
646,CO,4,2022,3
647,CO,5,2016,3
648,CO,7,2015,3
649,CO,7,2017,3
650,CO,7,2020,3
651,CO,8,2018,3
652,CO,8,2020,3
653,CO,11,2016,3
654,CO,12,2019,3
655,CT,1,2020,3
656,FL,1,2016,3
657,FL,2,2016,3
658,FL,2,2022,3
659,FL,6,2018,3
660,FL,8,2015,3
661,FL,8,2016,3
662,FL,9,2019,3
663,FL,9,2020,3
664,FL,11,2018,3
665,FL,12,2015,3
666,GA,1,2019,3
667,GA,1,2022,3
668,GA,2,2020,3
669,GA,3,2015,3
670,GA,5,2015,3
671,GA,5,2022,3
672,GA,7,2018,3
673,GA,7,2019,3
674,GA,7,2020,3
675,GA,8,2019,3
676,GA,9,2017,3
677,GA,11,2016,3
678,GA,11,2019,3
679,GA,12,2017,3
680,GA,12,2019,3
681,GA,12,2020,3
682,IA,9,2020,3
683,ID,1,2018,3
684,ID,9,2019,3
685,ID,10,2019,3
686,ID,10,2021,3
687,IL,1,2016,3
688,IL,1,2017,3
689,IL,2,2017,3
690,IL,3,2016,3
691,IL,3,2022,3
692,IL,4,2016,3
693,IL,4,2022,3
694,IL,5,2021,3
695,IL,6,2017,3
696,IL,7,2015,3
697,IL,7,2016,3
698,IL,8,2021,3
699,IL,10,2020,3
700,IL,12,2021,3
701,IN,2,2017,3
702,IN,2,2018,3
703,IN,3,2021,3
704,IN,4,2015,3
705,IN,4,2016,3
706,IN,6,2020,3
707,IN,7,2020,3
708,IN,8,2015,3
709,IN,8,2017,3
710,IN,8,2019,3
711,IN,9,2015,3
712,IN,10,2020,3
713,IN,11,2021,3
714,IN,12,2016,3
715,IN,12,2020,3
716,KS,8,2019,3
717,KY,2,2017,3
718,KY,2,2021,3
719,KY,3,2016,3
720,KY,5,2022,3
721,KY,6,2016,3
722,KY,6,2020,3
723,KY,6,2021,3
724,KY,9,2018,3
725,KY,9,2021,3
726,KY,10,2015,3
727,KY,10,2016,3
728,KY,10,2017,3
729,KY,10,2020,3
730,KY,10,2021,3
731,LA,1,2022,3
732,LA,2,2016,3
733,LA,2,2019,3
734,LA,2,2020,3
735,LA,3,2019,3
736,LA,4,2015,3
737,LA,7,2015,3
738,LA,9,2021,3
739,LA,10,2015,3
740,LA,11,2021,3
741,LA,12,2021,3
742,MA,10,2016,3
743,MD,2,2021,3
744,MD,3,2015,3
745,MD,3,2017,3
746,MD,3,2019,3
747,MD,5,2019,3
748,MD,6,2019,3
749,MD,7,2021,3
750,MD,11,2020,3
751,MD,12,2016,3
752,ME,2,2017,3
753,MI,2,2015,3
754,MI,2,2022,3
755,MI,3,2019,3
756,MI,3,2022,3
757,MI,5,2015,3
758,MI,5,2018,3
759,MI,6,2021,3
760,MI,10,2020,3
761,MI,10,2021,3
762,MI,11,2017,3
763,MI,12,2020,3
764,MN,1,2015,3
765,MN,4,2022,3
766,MN,11,2015,3
767,MO,2,2016,3
768,MO,3,2018,3
769,MO,3,2019,3
770,MO,3,2022,3
771,MO,5,2016,3
772,MO,5,2017,3
773,MO,5,2021,3
774,MO,5,2022,3
775,MO,6,2017,3
776,MO,8,2017,3
777,MO,8,2019,3
778,MO,9,2019,3
779,MO,10,2017,3
780,MO,10,2021,3
781,MO,11,2016,3
782,MO,11,2019,3
783,MO,11,2021,3
784,MS,2,2019,3
785,MS,2,2021,3
786,MS,6,2016,3
787,MS,6,2017,3
788,MS,6,2021,3
789,MS,7,2022,3
790,MS,8,2021,3
791,MS,10,2015,3
792,MS,11,2021,3
793,MT,4,2018,3
794,NC,1,2016,3
795,NC,1,2019,3
796,NC,1,2022,3
797,NC,2,2016,3
798,NC,2,2022,3
799,NC,3,2015,3
800,NC,3,2016,3
801,NC,4,2018,3
802,NC,4,2019,3
803,NC,6,2016,3
804,NC,7,2016,3
805,NC,7,2020,3
806,NC,8,2019,3
807,NC,9,2017,3
808,NC,9,2020,3
809,NC,10,2019,3
810,NC,11,2016,3
811,NC,12,2016,3
812,NC,12,2019,3
813,NJ,1,2019,3
814,NJ,3,2017,3
815,NJ,4,2017,3
816,NJ,5,2015,3
817,NJ,7,2019,3
818,NJ,9,2016,3
819,NJ,12,2019,3
820,NM,2,2016,3
821,NM,3,2016,3
822,NM,3,2022,3
823,NM,5,2016,3
824,NM,5,2019,3
825,NM,6,2016,3
826,NM,6,2018,3
827,NM,6,2022,3
828,NM,7,2015,3
829,NM,7,2019,3
830,NM,8,2019,3
831,NM,8,2022,3
832,NM,9,2015,3
833,NM,9,2021,3
834,NM,10,2019,3
835,NM,10,2020,3
836,NM,11,2019,3
837,NM,12,2015,3
838,NM,12,2018,3
839,NV,1,2018,3
840,NV,1,2020,3
841,NV,2,2020,3
842,NV,6,2017,3
843,NV,8,2018,3
844,NV,9,2018,3
845,NV,10,2018,3
846,NV,11,2015,3
847,NV,11,2017,3
848,NV,12,2015,3
849,NV,12,2018,3
850,NY,1,2017,3
851,NY,3,2020,3
852,NY,4,2018,3
853,NY,4,2019,3
854,NY,5,2015,3
855,NY,6,2018,3
856,NY,7,2016,3
857,NY,7,2017,3
858,NY,8,2015,3
859,NY,9,2018,3
860,NY,10,2021,3
861,NY,12,2018,3
862,NY,12,2020,3
863,NY,12,2021,3
864,OH,1,2018,3
