"row","Species","Body_Mass_(g)","Ladder_score","Regional_indicator"
"1","South Asia",3,2.523,"South Asia"
"2","Central and Eastern Europe",5,5.117,"Central and Eastern Europe"
"3","Middle East and North Africa",5,4.887,"Middle East and North Africa"
"4","Sub-Saharan Africa",4,3.795,"Sub-Saharan Africa"
"5","Latin America and Caribbean",6,5.929,"Latin America and Caribbean"
"6","Commonwealth of Independent States",5,5.283,"Commonwealth of Independent States"
"7","North America and ANZ",7,7.183,"North America and ANZ"
"8","Western Europe",7,7.268,"Western Europe"
"9","Commonwealth of Independent States",5,5.171,"Commonwealth of Independent States"
"10","Middle East and North Africa",7,6.647,"Middle East and North Africa"
"11","South Asia",5,5.025,"South Asia"
"12","Commonwealth of Independent States",6,5.534,"Commonwealth of Independent States"
"13","Western Europe",7,6.834,"Western Europe"
"14","Sub-Saharan Africa",5,5.045,"Sub-Saharan Africa"
"15","Latin America and Caribbean",6,5.716,"Latin America and Caribbean"
"16","Central and Eastern Europe",6,5.813,"Central and Eastern Europe"
"17","Sub-Saharan Africa",3,3.467,"Sub-Saharan Africa"
"18","Latin America and Caribbean",6,6.33,"Latin America and Caribbean"
"19","Central and Eastern Europe",5,5.266,"Central and Eastern Europe"
"20","Sub-Saharan Africa",5,4.834,"Sub-Saharan Africa"
"21","Sub-Saharan Africa",4,3.775,"Sub-Saharan Africa"
"22","Southeast Asia",5,4.83,"Southeast Asia"
"23","Sub-Saharan Africa",5,5.142,"Sub-Saharan Africa"
"24","North America and ANZ",7,7.103,"North America and ANZ"
"25","Sub-Saharan Africa",4,3.93,"Sub-Saharan Africa"
"26","Sub-Saharan Africa",4,4.355,"Sub-Saharan Africa"
